Genus,Species,Family,Illegally_Hunted,Threat_status,Adult_weight,Age_first_birth,Age_maturity,Gestation.length,Interbirth_interval,Group_size,GeographicRange_km2,HomeRange_km2,MaximumLongevity_months,PopulationDensity_km2,MeanHumanPopulationDensity_km2,2003GrossNationalIncome_US$,MatingSystem,Diet,HabitatBreadth
Raphicerus,sharpei,Bovidae,Yes,Threatened,9330,NA,NA,212.92,NA,1.5,2548307,NA,168,0.51,25.41,9205.25,NA,Generalist,4
Redunca,arundinum,Bovidae,Yes,Threatened,57700,NA,NA,220.52,273.75,1.75,5149999,NA,201,0.64,24.54,18018.6,Monogamous,Specialist,4
Redunca,fulvorufula,Bovidae,No,Not_Threatened,28900,NA,283.42,223,352.83,4.75,1134766,0.08,147.96,7.72,60.83,61105.73,Polygamous,Specialist,5
Redunca,redunca,Bovidae,Yes,Threatened,42700,NA,NA,228.13,NA,NA,6462305,NA,216,1.01,45.48,13072.37,Polygamous,Specialist,4
Rupicapra,pyrenaica,Bovidae,No,Threatened,30000,NA,NA,NA,NA,NA,13562,NA,NA,NA,37.32,1056288.32,NA,Generalist,4
Rupicapra,rupicapra,Bovidae,No,Not_Threatened,32800,1368.75,541.09,178.55,365,1,742757,2.66,264,NA,105.31,406572.39,Polygamous,Generalist,4
Saiga,tatarica,Bovidae,Yes,Threatened,37400,NA,279.78,148.5,365,27.5,3052486,NA,144,0.76,9.02,206869.95,Polygamous,Generalist,3
Sigmoceros,lichtensteinii,Bovidae,Yes,NA,168000,730,517.08,237,365,10,2264336,4.47,NA,1.65,21.99,6536.69,Polygamous,Specialist,4
Sus,barbatus,Suidae,Yes,Not_Threatened,135000,NA,320.64,114.78,NA,6.25,1078876,NA,NA,NA,67.01,161462.56,NA,NA,3
Sus,bucculentus,Suidae,No,NA,NA,NA,NA,NA,NA,NA,2834,NA,NA,NA,92.3,7342.99,NA,NA,1
Sus,cebifrons,Suidae,No,NA,188000,NA,246.74,125.47,NA,4.5,27762,NA,NA,NA,266.95,86607.1,NA,NA,1
Sus,celebensis,Suidae,Yes,Not_Threatened,53100,NA,NA,126,NA,NA,173576,NA,NA,NA,94.75,199369,NA,NA,NA
Sus,heureni,Suidae,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sus,philippensis,Suidae,Yes,Threatened,188000,NA,246.74,125.47,NA,3.75,237935,NA,NA,NA,225.88,86607.1,NA,NA,1
Sus,salvanius,Suidae,No,NA,7860,NA,NA,110.5,NA,5,25729,0.16,144,NA,339.5,475265.8,Polygamous,NA,3
Sus,scrofa,Suidae,Yes,Not_Threatened,84500,312,304.17,115.2,230,13,25951694,1.19,252,3.57,145.59,579612.5,Polygamous,Generalist,5
Sus,timoriensis,Suidae,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sus,verrucosus,Suidae,Yes,NA,89000,NA,NA,121.67,NA,5,97965,NA,168,NA,777.3,199369,NA,NA,4
Sylvicapra,grimmia,Bovidae,Yes,Not_Threatened,15500,608.33,248.04,174.9,234,1,14120906,NA,171.96,2.36,33.95,22282,Monogamous,Specialist,3
Syncerus,caffer,Bovidae,Yes,Threatened,593000,1460,1460,337.49,638.75,12,11706835,63.8,354,5.68,31.59,11194.95,Polygamous,Specialist,4
Taurotragus,derbianus,Bovidae,No,Not_Threatened,643000,,657.99,NA,,NA,937937,NA,194.04,0.72,9.12,6686.1,Polygamous,Specialist,3
Taurotragus,oryx,Bovidae,No,Threatened,561000,958.13,595.15,271,337,NA,5405308,197,283.2,1.59,24.96,9349.01,Polygamous,Generalist,4
Tayassu,pecari,Tayassuidae,Yes,Not_Threatened,31400,NA,596.93,158,NA,NA,13839053,41.7,252,1.59,25.33,323829.21,NA,NA,4
Tetracerus,quadricornis,Bovidae,Yes,NA,19100,365,NA,207.31,316,NA,1865786,NA,129.96,NA,286.57,583721.23,Monogamous,Generalist,3
Tragelaphus,angasii,Bovidae,Yes,Threatened,87000,695.78,573.16,220,297,15.5,274075,1.66,192,123,18.75,24843.63,Polygamous,Generalist,4
Tragelaphus,buxtoni,Bovidae,No,NA,215000,NA,657.99,NA,NA,15,41913,NA,132,78.2,98.01,6597.13,Polygamous,Specialist,5
Tragelaphus,eurycerus,Bovidae,Yes,Not_Threatened,268000,NA,760.32,285,NA,13.5,2564433,NA,233,0.39,30.98,5989.15,NA,Specialist,2
Tragelaphus,imberbis,Bovidae,Yes,Threatened,93300,1115.08,577.92,222,258.54,3,1907499,NA,227,0.34,26.56,8575.69,Polygamous,Generalist,3
Tragelaphus,scriptus,Bovidae,Yes,Not_Threatened,43300,644.16,380.78,182.5,235.73,1,13167566,0.03,156,1.51,41.29,13928.48,Polygamous,Specialist,3
Tragelaphus,spekii,Bovidae,Yes,Not_Threatened,75000,608.33,548.81,241.16,352.83,6,5256069,NA,258,1.61,30.39,6656,Polygamous,Generalist,4
Tragelaphus,strepsiceros,Bovidae,Yes,Threatened,205000,912.5,496.08,220.95,365,12,6476880,835,276,1.04,24.17,17606.31,Polygamous,Specialist,4
Tragulus,javanicus,Tragulidae,Yes,Not_Threatened,1870,NA,137.08,158.76,NA,1,3708821,NA,144,NA,181.56,328763.18,Monogamous,Generalist,4
Tragulus,napu,Tragulidae,Yes,Not_Threatened,5230,212.92,134.1,154.25,152.08,NA,1605112,NA,195.96,NA,90.18,159927.18,NA,NA,4
Vicugna,vicugna,Camelidae,Yes,Threatened,47500,1140.63,821.25,345.46,547.5,NA,817999,0.13,297.6,3.14,10.75,58992.13,Polygamous,Generalist,3
